"","zipcode","high.school","bachelor","unemployment","income","population","pop.white","pop.black","pop.indian","pop.asian","pop.hawai","pop.other","pop.multi","category","sale.dollars","sale.volume","sale.dollars.capita","sale.volume.capita"
"3703",52553,96.1,19.5,7.3,27209,1860,1807,0,0,3,0,0,50,"Amaretto",48,4,0.0258064516129032,0.0021505376344086
"3704",52553,96.1,19.5,7.3,27209,1860,1807,0,0,3,0,0,50,"Tequila",454,24,0.244086021505376,0.0129032258064516
"3705",52553,96.1,19.5,7.3,27209,1860,1807,0,0,3,0,0,50,"Rum",3001,190,1.61344086021505,0.102150537634409
"3706",52553,96.1,19.5,7.3,27209,1860,1807,0,0,3,0,0,50,"Brandy",1713,160,0.920967741935484,0.0860215053763441
"3707",52553,96.1,19.5,7.3,27209,1860,1807,0,0,3,0,0,50,"Distilled Spirits",487,23,0.261827956989247,0.0123655913978495
"3708",52553,96.1,19.5,7.3,27209,1860,1807,0,0,3,0,0,50,"Vodka",7199,645,3.87043010752688,0.346774193548387
"3709",52554,85,10.8,10.1,28717,1277,1261,0,10,0,0,6,0,"Misc",673,43,0.527016444792482,0.033672670321065
"3710",52554,85,10.8,10.1,28717,1277,1261,0,10,0,0,6,0,"Vodka",2290,217,1.79326546593579,0.169929522317933
"3711",52554,85,10.8,10.1,28717,1277,1261,0,10,0,0,6,0,"Brandy",24,1,0.0187940485512921,0.000783085356303837
"3712",52554,85,10.8,10.1,28717,1277,1261,0,10,0,0,6,0,"Gin",104,4,0.0814408770555991,0.00313234142521535
"3713",52554,85,10.8,10.1,28717,1277,1261,0,10,0,0,6,0,"Rum",2494,153,1.95301487862177,0.119812059514487
"3714",52554,85,10.8,10.1,28717,1277,1261,0,10,0,0,6,0,"Whisky",9611,743,7.52623335943618,0.581832419733751
"3715",52554,85,10.8,10.1,28717,1277,1261,0,10,0,0,6,0,"Amaretto",17,1,0.0133124510571652,0.000783085356303837
"3716",52554,85,10.8,10.1,28717,1277,1261,0,10,0,0,6,0,"Distilled Spirits",51,2,0.0399373531714957,0.00156617071260767
"3717",52554,85,10.8,10.1,28717,1277,1261,0,10,0,0,6,0,"Tequila",463,29,0.362568519968677,0.0227094753328113
"3718",52554,85,10.8,10.1,28717,1277,1261,0,10,0,0,6,0,"Schnapps",2119,122,1.65935787000783,0.0955364134690681
"3719",52556,95.5,38.8,7,21506,13433,10702,1006,0,802,0,372,551,"Misc",71499,4118,5.32263827886548,0.306558475396412
"3720",52556,95.5,38.8,7,21506,13433,10702,1006,0,802,0,372,551,"Tequila",45192,2406,3.36425221469515,0.179111144197126
"3721",52556,95.5,38.8,7,21506,13433,10702,1006,0,802,0,372,551,"Brandy",17039,1102,1.26844338569195,0.082036775106082
"3722",52556,95.5,38.8,7,21506,13433,10702,1006,0,802,0,372,551,"Whisky",307302,17641,22.8766470632026,1.31325839350852
"3723",52556,95.5,38.8,7,21506,13433,10702,1006,0,802,0,372,551,"Schnapps",31685,2481,2.35874339313631,0.184694409290553
"3724",52556,95.5,38.8,7,21506,13433,10702,1006,0,802,0,372,551,"Distilled Spirits",5203,234,0.38732971041465,0.0174197870914911
"3725",52556,95.5,38.8,7,21506,13433,10702,1006,0,802,0,372,551,"Vodka",178949,16470,13.3215960693814,1.22608501451649
"3726",52556,95.5,38.8,7,21506,13433,10702,1006,0,802,0,372,551,"Gin",21218,1556,1.57954291669768,0.115834139804958
"3727",52556,95.5,38.8,7,21506,13433,10702,1006,0,802,0,372,551,"Rum",125181,9091,9.31891610213653,0.676766172857887
"3728",52556,95.5,38.8,7,21506,13433,10702,1006,0,802,0,372,551,"Amaretto",3710,360,0.276185513288171,0.0267996724484479
"3729",52565,91.7,16,4.6,30807,1943,1914,13,7,0,0,0,9,"Brandy",1722,151,0.886258363355636,0.0777148739063304
"3730",52565,91.7,16,4.6,30807,1943,1914,13,7,0,0,0,9,"Schnapps",13483,994,6.93926917138446,0.511580030880082
"3731",52565,91.7,16,4.6,30807,1943,1914,13,7,0,0,0,9,"Distilled Spirits",319,19,0.164179104477612,0.00977869274318065
"3732",52565,91.7,16,4.6,30807,1943,1914,13,7,0,0,0,9,"Amaretto",349,46,0.179619145651055,0.0236747297992795
"3733",52565,91.7,16,4.6,30807,1943,1914,13,7,0,0,0,9,"Vodka",30294,2819,15.5913535769429,1.45084920226454
"3734",52565,91.7,16,4.6,30807,1943,1914,13,7,0,0,0,9,"Whisky",68322,4191,35.1631497683994,2.15697375193001
"3735",52565,91.7,16,4.6,30807,1943,1914,13,7,0,0,0,9,"Misc",8634,495,4.44364384971693,0.254760679361812
"3736",52565,91.7,16,4.6,30807,1943,1914,13,7,0,0,0,9,"Gin",2684,134,1.38136901698405,0.0689655172413793
"3737",52565,91.7,16,4.6,30807,1943,1914,13,7,0,0,0,9,"Rum",25084,1859,12.9099330931549,0.956767884714359
"3738",52565,91.7,16,4.6,30807,1943,1914,13,7,0,0,0,9,"Tequila",4858,293,2.50025733401956,0.150797735460628
"3739",52571,94.4,15.2,4.4,29605,1632,1616,2,0,0,0,0,14,"Whisky",26981,1466,16.5324754901961,0.89828431372549
"3740",52571,94.4,15.2,4.4,29605,1632,1616,2,0,0,0,0,14,"Brandy",85,7,0.0520833333333333,0.00428921568627451
"3741",52571,94.4,15.2,4.4,29605,1632,1616,2,0,0,0,0,14,"Rum",7994,496,4.89828431372549,0.303921568627451
"3742",52571,94.4,15.2,4.4,29605,1632,1616,2,0,0,0,0,14,"Amaretto",233,22,0.142769607843137,0.0134803921568627
"3743",52571,94.4,15.2,4.4,29605,1632,1616,2,0,0,0,0,14,"Gin",935,62,0.572916666666667,0.0379901960784314
