"","zipcode","sum.sale.dollars.","population","perCapitaSales"
"673",51047,NA,645,NA
"674",51048,NA,634,NA
"675",51049,NA,505,NA
"676",51051,NA,119,NA
"677",51052,NA,837,NA
"678",51056,NA,411,NA
"679",51060,NA,575,NA
"680",51062,NA,552,NA
"681",51063,NA,1220,NA
"682",51111,NA,168,NA
"683",51231,NA,398,NA
"684",51232,NA,663,NA
"685",51234,NA,1171,NA
"686",51235,NA,1235,NA
"687",51239,NA,3244,NA
"688",51242,NA,224,NA
"689",51243,NA,973,NA
"690",51244,NA,67,NA
"691",51333,NA,497,NA
"692",51341,NA,35,NA
"693",51343,NA,333,NA
"694",51345,NA,419,NA
"695",51350,NA,621,NA
"696",51354,NA,1028,NA
"697",51357,NA,589,NA
"698",51363,NA,168,NA
"699",51364,NA,653,NA
"700",51365,NA,382,NA
"701",51366,NA,343,NA
"702",51430,NA,849,NA
"703",51431,NA,441,NA
"704",51433,NA,520,NA
"705",51436,NA,790,NA
"706",51439,NA,1095,NA
"707",51440,NA,372,NA
"708",51441,NA,448,NA
"709",51444,NA,243,NA
"710",51446,NA,513,NA
"711",51447,NA,187,NA
"712",51448,NA,484,NA
"713",51451,NA,133,NA
"714",51454,NA,1616,NA
"715",51458,NA,1476,NA
"716",51459,NA,72,NA
"717",51465,NA,766,NA
"718",51467,NA,661,NA
"719",51520,NA,183,NA
"720",51523,NA,375,NA
"721",51525,NA,1209,NA
"722",51527,NA,454,NA
"723",51528,NA,750,NA
"724",51530,NA,837,NA
"725",51531,NA,710,NA
"726",51532,NA,779,NA
"727",51533,NA,909,NA
"728",51536,NA,399,NA
"729",51540,NA,444,NA
"730",51541,NA,285,NA
"731",51542,NA,1109,NA
"732",51543,NA,543,NA
"733",51544,NA,827,NA
"734",51545,NA,301,NA
"735",51548,NA,365,NA
"736",51549,NA,401,NA
"737",51550,NA,151,NA
"738",51552,NA,245,NA
"739",51554,NA,130,NA
"740",51556,NA,430,NA
"741",51557,NA,803,NA
"742",51558,NA,430,NA
"743",51562,NA,435,NA
"744",51563,NA,632,NA
"745",51564,NA,399,NA
"746",51565,NA,514,NA
"747",51571,NA,611,NA
"748",51572,NA,437,NA
"749",51576,NA,1984,NA
"750",51578,NA,101,NA
"751",51630,NA,200,NA
"752",51631,NA,266,NA
"753",51636,NA,437,NA
"754",51637,NA,194,NA
"755",51638,NA,1301,NA
"756",51639,NA,719,NA
"757",51645,NA,296,NA
"758",51646,NA,656,NA
"759",51647,NA,92,NA
"760",51648,NA,210,NA
"761",51649,NA,277,NA
"762",51650,NA,355,NA
"763",51652,NA,1573,NA
"764",51654,NA,470,NA
"765",51656,NA,59,NA
"766",52030,NA,519,NA
"767",52032,NA,1430,NA
"768",52038,NA,586,NA
"769",52039,NA,1115,NA
"770",52041,NA,1683,NA
"771",52044,NA,136,NA
"772",52045,NA,2599,NA
"773",52047,NA,603,NA
"774",52048,NA,415,NA
"775",52050,NA,712,NA
"776",52054,NA,821,NA
"777",52064,NA,947,NA
"778",52065,NA,1097,NA
"779",52066,NA,70,NA
"780",52070,NA,890,NA
"781",52072,NA,221,NA
"782",52073,NA,1285,NA
"783",52074,NA,395,NA
"784",52077,NA,424,NA
"785",52078,NA,856,NA
"786",52132,NA,1774,NA
"787",52133,NA,604,NA
"788",52135,NA,731,NA
"789",52140,NA,558,NA
"790",52141,NA,1582,NA
"791",52147,NA,1154,NA
"792",52155,NA,1205,NA
"793",52156,NA,686,NA
"794",52158,NA,257,NA
"795",52160,NA,1207,NA
"796",52163,NA,244,NA
"797",52164,NA,252,NA
"798",52165,NA,753,NA
"799",52168,NA,255,NA
"800",52169,NA,382,NA
"801",52170,NA,533,NA
"802",52171,NA,984,NA
