category,Table Name,zipcode,bachelor,high.school,income,pop.asian,pop.black,pop.hawai,pop.indian,pop.multi,pop.other,pop.white,population,sale.dollars,sale.volume,unemployment
,project.acs.zipcodes.csv,50232,27.5,87.5,33250,0,0,0,0,4,0,470,474,,,0
,project.acs.zipcodes.csv,50233,19,93.7,32557,0,13,0,2,33,12,1295,1355,,,3.9
,project.acs.zipcodes.csv,50234,23.7,92.5,35724,0,2,0,0,2,6,578,588,,,5.4
,project.acs.zipcodes.csv,50235,19.2,89,30125,2,2,0,0,2,0,378,384,,,5.1
,project.acs.zipcodes.csv,50236,38.8,98,43060,0,0,0,4,27,0,1575,1606,,,0.6
,project.acs.zipcodes.csv,50237,20,96.2,40100,1,5,0,13,42,0,3352,3413,,,4.7
,project.acs.zipcodes.csv,50238,15,92.1,30625,0,0,0,27,24,0,1252,1303,,,5.9
,project.acs.zipcodes.csv,50239,4.7,95.3,40446,0,3,0,0,11,0,145,159,,,4.8
,project.acs.zipcodes.csv,50240,25.6,96.7,36437,3,20,0,0,17,0,2835,2875,,,5.8
,project.acs.zipcodes.csv,50242,16.6,95,21641,0,0,0,2,13,0,505,520,,,4
,project.acs.zipcodes.csv,50243,16.4,91.8,37083,0,3,0,0,3,0,181,187,,,2.8
,project.acs.zipcodes.csv,50244,37.7,98.2,37135,0,0,0,7,7,0,1909,1923,,,1.2
,project.acs.zipcodes.csv,50246,17.1,95.1,37100,2,0,0,0,53,0,612,667,,,5.5
,project.acs.zipcodes.csv,50247,21,92.9,32117,8,28,0,4,0,62,2097,2199,,,2.3
,project.acs.zipcodes.csv,50248,33.7,92.8,35898,13,51,0,75,184,11,4172,4506,,,3.3
,project.acs.zipcodes.csv,50249,18.4,92.4,33190,4,0,0,0,4,0,1146,1154,,,4.9
,project.acs.zipcodes.csv,50250,15.1,93.2,31412,0,2,0,0,5,0,2342,2349,,,2.5
,project.acs.zipcodes.csv,50251,14.7,93.7,29091,0,27,0,0,83,0,1212,1322,,,3.7
,project.acs.zipcodes.csv,50252,32.8,97.7,56898,0,0,0,0,0,1,279,280,,,0.8
,project.acs.zipcodes.csv,50254,15.7,91.2,24250,8,0,0,0,0,0,278,286,,,7
,project.acs.zipcodes.csv,50255,14.9,91.5,31250,0,0,0,0,0,0,75,75,,,2.3
,project.acs.zipcodes.csv,50256,12.4,97,41550,0,0,0,0,0,0,528,528,,,8.3
,project.acs.zipcodes.csv,50257,13.4,92.5,31569,0,29,0,2,11,3,992,1037,,,3.2
,project.acs.zipcodes.csv,50258,17,94.2,31012,3,0,0,2,33,12,973,1023,,,2.9
,project.acs.zipcodes.csv,50261,36.4,96.9,39846,15,0,18,0,11,0,2443,2487,,,1.2
,project.acs.zipcodes.csv,50262,18,86.9,29659,0,0,0,3,10,0,429,442,,,0.9
,project.acs.zipcodes.csv,50263,55.5,98.6,45445,789,261,28,0,654,112,18361,20205,,,1.1
,project.acs.zipcodes.csv,50264,12.8,94.8,31719,0,0,0,0,12,0,474,486,,,2.6
,project.acs.zipcodes.csv,50265,48.9,96.1,39231,1642,1392,0,51,672,243,27754,31754,,,2.9
,project.acs.zipcodes.csv,50266,61.1,96.2,47232,2082,909,51,22,457,450,23680,27651,,,2.7
,project.acs.zipcodes.csv,50268,7.2,87.8,26750,0,0,0,0,2,4,984,990,,,5.1
,project.acs.zipcodes.csv,50271,16.7,96.2,32143,3,5,0,0,54,11,573,646,,,2.8
,project.acs.zipcodes.csv,50272,2.5,93.8,37188,0,0,0,0,0,0,113,113,,,2.6
,project.acs.zipcodes.csv,50273,23.4,93.6,35779,146,1,0,0,28,26,8141,8342,,,6
,project.acs.zipcodes.csv,50274,15.3,96.4,27417,0,0,0,0,3,0,340,343,,,1.2
,project.acs.zipcodes.csv,50275,13.9,95.1,28438,6,0,0,0,0,0,570,576,,,10.1
,project.acs.zipcodes.csv,50276,20,86.2,35750,0,98,0,0,250,7,2796,3151,,,3.3
,project.acs.zipcodes.csv,50277,22.2,93.4,35686,0,0,0,0,3,0,472,475,,,3.4
,project.acs.zipcodes.csv,50278,20.2,92.4,33920,5,0,0,0,3,4,789,801,,,3.9
,project.acs.zipcodes.csv,50309,40.7,84.7,29915,821,821,96,10,185,90,3889,5912,,,3.2
,project.acs.zipcodes.csv,50310,34.2,90.8,32349,2372,3559,41,211,998,186,24933,32300,,,4.4
,project.acs.zipcodes.csv,50311,42.3,90,20477,642,1606,2,202,670,610,11728,15460,,,7.6
,project.acs.zipcodes.csv,50312,55.2,95.2,38275,575,632,0,1,384,40,14081,15713,,,3.4
,project.acs.zipcodes.csv,50313,15,83.9,26832,655,1438,0,30,465,375,15337,18300,,,8.6
,project.acs.zipcodes.csv,50314,18.8,78.7,21547,1149,3434,0,55,585,792,6087,12102,,,12.8
,project.acs.zipcodes.csv,50315,16.4,88.6,29366,1221,2880,0,243,675,691,29867,35577,,,7.4
,project.acs.zipcodes.csv,50316,11.6,75.8,23177,1258,3081,14,10,944,687,11449,17443,,,10
,project.acs.zipcodes.csv,50317,12.6,86.1,28282,764,2254,46,114,1251,881,31838,37148,,,9
,project.acs.zipcodes.csv,50319,,,,0,0,0,0,0,0,0,0,,,
,project.acs.zipcodes.csv,50320,20.3,87.7,29962,1770,2669,0,77,677,845,15565,21603,,,5.3
,project.acs.zipcodes.csv,50321,34,90.9,30429,265,1398,0,33,294,92,6925,9007,,,5.7
,project.acs.zipcodes.csv,50322,41.1,94.7,38763,1027,1517,107,27,1048,175,27267,31168,,,4.2
,project.acs.zipcodes.csv,50323,66.4,99.6,62005,734,177,0,0,241,0,11526,12678,,,3.2
,project.acs.zipcodes.csv,50324,47,94.5,37525,189,26,0,0,197,249,4319,4980,,,6.4
,project.acs.zipcodes.csv,50325,54,94.9,45433,761,357,0,59,272,235,15253,16937,,,3.3
,project.acs.zipcodes.csv,50327,34,91.5,40480,202,312,8,25,187,102,10320,11156,,,2.1
,project.acs.zipcodes.csv,50401,21.5,92.7,27457,349,586,0,93,567,179,27442,29216,,,4.9
,project.acs.zipcodes.csv,50420,16.4,92.5,32750,0,3,0,0,0,0,363,366,,,6.6
,project.acs.zipcodes.csv,50421,13.8,92.2,31977,22,0,0,0,35,106,3173,3336,,,3
,project.acs.zipcodes.csv,50423,15.9,89.1,33407,5,19,0,3,24,23,2715,2789,,,3.8
,project.acs.zipcodes.csv,50424,26.3,92,31215,0,0,0,0,11,0,1403,1414,,,3
,project.acs.zipcodes.csv,50426,11.8,88.2,27250,0,0,0,0,0,0,24,24,,,14.3
,project.acs.zipcodes.csv,50428,25.7,93.8,30471,134,58,0,25,76,47,9084,9424,,,2.1
,project.acs.zipcodes.csv,50430,22.2,89.5,30714,0,0,0,0,0,0,440,440,,,4.1
,project.acs.zipcodes.csv,50431,7.3,93.4,41354,6,3,0,0,0,0,196,205,,,7.2
,project.acs.zipcodes.csv,50432,3.9,92.9,31719,0,0,0,0,0,1,201,202,,,0.9
,project.acs.zipcodes.csv,50433,20.4,97.1,26625,0,0,0,0,0,0,174,174,,,15.8
,project.acs.zipcodes.csv,50434,12.6,93.4,30486,2,0,0,0,6,0,381,389,,,1.3
,project.acs.zipcodes.csv,50435,10.9,90.6,33140,4,0,2,0,7,0,689,702,,,1.8
,project.acs.zipcodes.csv,50436,21.7,92.1,28580,111,89,0,3,133,18,5630,5984,,,7.3
,project.acs.zipcodes.csv,50438,27.1,96.1,32699,0,13,9,0,65,1,3876,3964,,,0
,project.acs.zipcodes.csv,50439,20.1,96,27500,0,0,0,0,0,3,319,322,,,1.3
,project.acs.zipcodes.csv,50440,13.3,93.6,32167,0,6,0,0,5,0,651,662,,,0
,project.acs.zipcodes.csv,50441,19.6,85.4,30643,0,99,0,5,106,412,4915,5537,,,5.2
,project.acs.zipcodes.csv,50444,17.5,96.7,30556,3,0,0,0,5,0,365,373,,,5.3
,project.acs.zipcodes.csv,50446,19.3,95.7,27857,0,0,1,0,2,0,536,539,,,3.4
,project.acs.zipcodes.csv,50447,14.4,87.8,30000,25,13,0,12,10,0,1139,1199,,,3.8
,project.acs.zipcodes.csv,50448,12.3,94.2,25118,0,5,0,0,0,0,842,847,,,10.4
,project.acs.zipcodes.csv,50449,7.4,95.2,21941,0,13,0,0,8,1,676,698,,,5.6
,project.acs.zipcodes.csv,50450,21.3,89.8,31796,0,0,0,69,21,7,2549,2646,,,7.1
,project.acs.zipcodes.csv,50451,14.3,93,26151,0,0,0,0,3,4,442,449,,,1.5
,project.acs.zipcodes.csv,50452,20.4,84.4,26900,14,29,0,3,5,17,742,810,,,3.4
,project.acs.zipcodes.csv,50453,17.5,96.7,26250,9,12,0,0,0,0,555,576,,,1
,project.acs.zipcodes.csv,50454,0,82.4,36500,0,0,0,0,0,0,68,68,,,0
,project.acs.zipcodes.csv,50455,2.1,73.3,16250,0,0,0,0,41,0,607,648,,,1.2
,project.acs.zipcodes.csv,50456,12.7,89.2,22500,2,6,0,4,63,5,1808,1888,,,5.1
,project.acs.zipcodes.csv,50457,11.2,98.3,27222,0,0,0,0,0,0,308,308,,,0.6
,project.acs.zipcodes.csv,50458,16.7,93.1,31138,0,10,0,0,35,2,2055,2102,,,2.7
,project.acs.zipcodes.csv,50459,17.5,92.2,29427,7,51,0,2,40,0,2583,2683,,,8.6
,project.acs.zipcodes.csv,50460,28.5,80.8,36797,4,0,0,0,0,0,379,383,,,3.3
,project.acs.zipcodes.csv,50461,17.1,93.6,30769,0,9,0,26,60,6,5583,5684,,,3.8
,project.acs.zipcodes.csv,50464,15.6,88.9,31974,3,1,0,0,2,0,492,498,,,4.9
,project.acs.zipcodes.csv,50465,15.2,82.6,16607,0,0,0,9,18,9,243,279,,,2
,project.acs.zipcodes.csv,50466,11.5,87.7,32143,0,0,0,0,42,0,1681,1723,,,6.4
,project.acs.zipcodes.csv,50467,8.9,98.2,31563,1,0,0,0,0,0,72,73,,,0
,project.acs.zipcodes.csv,50468,18,95.4,31699,0,7,0,0,0,4,1470,1481,,,4.7
,project.acs.zipcodes.csv,50469,13.6,95,37007,0,32,0,0,6,0,1574,1612,,,2.1
,project.acs.zipcodes.csv,50470,10.2,83.2,30417,0,0,0,0,16,1,174,191,,,11.9
,project.acs.zipcodes.csv,50471,11.2,90.1,21357,0,7,0,0,9,0,688,704,,,4.2
,project.acs.zipcodes.csv,50472,16.5,92.7,30779,36,0,0,0,0,0,2180,2216,,,2.1
,project.acs.zipcodes.csv,50473,33.8,92.7,42500,0,0,1,0,0,0,253,254,,,0
,project.acs.zipcodes.csv,50475,14.8,91.3,30159,4,0,0,0,10,4,1867,1885,,,5.8
,project.acs.zipcodes.csv,50476,8.2,88,31442,0,0,0,0,5,0,795,800,,,0.7
,project.acs.zipcodes.csv,50477,15.3,97.9,23214,0,0,0,0,35,0,285,320,,,7.5
,project.acs.zipcodes.csv,50478,13.6,91.2,28906,9,0,0,0,3,6,849,867,,,4.5
,project.acs.zipcodes.csv,50479,17.9,94.3,27917,1,5,0,0,7,3,558,574,,,6.5
,project.acs.zipcodes.csv,50480,12.9,93.9,28445,0,6,0,0,5,4,911,926,,,2.4
,project.acs.zipcodes.csv,50482,23.9,98.2,32310,0,0,0,0,0,0,871,871,,,1.6
,project.acs.zipcodes.csv,50483,15.6,92.8,29943,1,4,0,0,7,0,635,647,,,1.1
,project.acs.zipcodes.csv,50484,15.3,89.7,25972,0,19,0,4,36,5,350,414,,,2.7
,project.acs.zipcodes.csv,50501,22.2,90.5,23606,427,1616,0,99,407,348,25118,28015,,,7.4
,project.acs.zipcodes.csv,50510,22.9,94.4,35313,2,17,0,0,14,7,964,1004,,,4.3
,project.acs.zipcodes.csv,50511,24.4,95.3,33404,69,6,0,0,42,43,7024,7184,,,0.9
,project.acs.zipcodes.csv,50514,12.6,90.6,30096,0,0,0,0,10,0,1417,1427,,,3.8
